Model #,NWA,SRCV,NLCV,ACV
0,0.031490246531618325,0.00045911671438106,0.0006403655303633493,0.038207449095211045
1,0.03134875184277667,0.0004506115470193879,0.0013462158318180153,0.00852976034978246
2,0.07882261329855118,0.0007736207795282571,0.006941465477339049,0.4014581705246912
3,0.036688786699405736,0.0005416431803862897,0.004085663625486125,0.1732301881879355
4,0.011960759965340705,0.0005285189438429713,0.004479783213634715,0.15646110769835217
5,0.07787856673557832,0.0008041904154820653,0.006013556531200685,0.3899311616122509
6,0.014854750154671813,0.0005146373317117902,0.0049080124870212825,0.09017395386998517
7,0.10392745595288601,0.000837518615779138,0.0005890555499071836,0.16122774471967202
8,0.052411136029817014,0.0004769383378375035,0.0007157891360923268,0.033345669554430184
9,0.09061728329654713,0.0009295942479565965,0.0048558823763911844,0.364631788087864
10,0.0475329343012681,0.0006062438186263537,0.00503020375187009,0.29628149902154677
11,0.013139272180447888,0.0005091938975433292,0.00407164612224764,0.14555849121846814
12,0.02822138901706207,0.00045862394417506156,0.0027172531525474853,0.0008722488889785555
13,0.05531344738616082,0.0004631604150782384,0.003720588230326451,0.003662407578938842
14,0.02214216358760663,0.000489987698637695,0.003958959059003807,0.005534787313817018
15,0.12247521807153622,0.0006340227661985647,0.005548376144232026,0.015587046532985512
16,0.011981622966671874,0.0005204333822239025,0.004238194870658326,0.1514855824639478
17,0.03993148336610603,0.00045176850693101427,0.0005690995083529897,0.021716380539183837
18,0.011024141009517579,0.0004855281145044106,0.0038542755390641448,0.0778320073912056
19,0.028066096724259717,0.0005060693157092974,0.004003171538296163,0.009449727183748568
20,0.010534731291552463,0.00046103422043120094,0.0032878020171404148,0.1115030287968709
21,0.12044984449214007,0.0005958292689872097,0.0031783909214435956,0.07340034839184335
22,0.07128351044598823,0.0007174464756467715,0.005894265087934681,0.2158461864851898
23,0.12930185941027517,0.0006113941857274075,0.0032388472214037907,0.08265742811072664
24,0.11532973043316595,0.000746305496137403,0.0006889460310447049,0.12762349256100458
